Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BATTERY1,WAFER-PH2_0-2PWZ,WAFER-PH2_0-2PWZ,54.0,-64.167526,180.0,top
C1,10uF,C_0805_2012Metric,43.657607,-67.700076,90.0,top
C10,100nF,C_0603,30.5,-39.5,180.0,top
C11,100nF,C_0603,39.5,-46.0,-90.0,top
C12,100nF,C_0603,46.0,-41.0,0.0,top
C13,100nF,C_0603,30.5,-36.5,180.0,top
C14,4.7uF,C_0805,46.5,-35.5,0.0,top
C15,100nF,C_0603,48.5,-52.0,90.0,top
C16,100pF,C_0402,44.0,-30.5,0.0,top
C17,100pF,C_0402,44.0,-31.5,0.0,top
C18,100pF,C_0402,35.649987,-25.83998,180.0,top
C19,100nF,C_0603,43.5,-29.5,180.0,top
C2,100nF,C_0603_1608Metric,41.657607,-67.700076,90.0,top
C22,100nF,C_0603,52.32987,-47.0,180.0,top
C23,100nF,C_0603,52.32987,-48.5,180.0,top
C3,10uF,C_0805,46.5,-60.5,0.0,top
C4,10uF,C_0805,51.0,-59.5,90.0,top
C5,10uF,C_0805,46.5,-56.5,180.0,top
C6,22uF,C_0805,34.5,-52.0,0.0,top
C7,470nF,C_0603,38.0,-46.0,-90.0,top
C8,1uF,C_0603,35.0,-46.0,-90.0,top
C9,10nF,C_0603,36.5,-46.0,-90.0,top
D1,D_TVS,D_SOD-123,38.0,-66.700076,90.0,top
FL1,BALFHB-WL-05D3,BALFHB-WL-05D3,37.66002,-31.310008,90.0,top
J1,Solar Panel,WAFER-PH2_0-2PWZ,27.5,-64.167526,180.0,top
J2,Solar Panel,WAFER-PH2_0-2PWZ,40.5,-71.0,180.0,top
J3,Conn_ARM_SWD_TagConnect_TC2030-NL,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,55.865,-52.73,-90.0,top
JP_TMR_DISABLE1,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,41.65,-64.5,0.0,top
J_EXP1,Conn_01x10,PinHeader_1x10_P2.00mm_Vertical,23.75692,-50.095079,160.0,top
L1,FTC252012S2R2MBCA,FTC252012S2R2MBCA,34.157607,-54.700076,180.0,top
L3,FNR5040S150MT,FNR5040S150MT,44.0,-46.5,0.0,top
R1,7.87kΩ,R_0603,34.0,-62.5,0.0,top
R10,36.5kΩ,R_0603,46.1,-54.6,180.0,top
R11,100kΩ,R_0402,44.0,-32.5,180.0,top
R12,100kΩ,R_0603,43.5,-28.0,180.0,top
R13,0Ω,R_0402,35.649987,-24.83998,0.0,top
R14,0kΩ,R_0603,33.499619,-46.0,-90.0,top
R15,10kΩ,R_0603,50.0,-35.0,180.0,top
R16,10kΩ,R_0603,50.0,-36.5,180.0,top
R2,8.87kΩ,R_0603,46.5,-64.5,180.0,top
R3,10kΩ,R_0603,46.5,-63.0,180.0,top
R4,100kΩ,R_0603,46.5,-58.5,180.0,top
R5,100kΩ,R_0603,35.68,-58.5,0.0,top
R6,100kΩ,R_0603,35.68,-57.0,0.0,top
R7,68kΩ,R_0603,41.0,-62.5,0.0,top
R8,16.2kΩ,R_0603,46.1,-51.6,180.0,top
R9,0kΩ,R_0603,46.1,-53.1,180.0,top
U.FL1,Conn_01x03,IPEX-SMD_BWIPX-1-001E,39.7875,-20.5,0.0,top
U1,STM32WL55CCU6,STM32WL55CCU6,39.0,-37.5,90.0,top
U2,BQ24074RGTR,BQ24074RGTR,40.0,-59.5,180.0,top
U3,TPS63900DSKR,TPS63900DSKR,40.5,-54.180076,180.0,top
U4,BME688_C3664478,BME688_C3664478,52.300151,-41.800101,180.0,top
U6,PE4259-63,PE4259-63,43.5,-25.83998,90.0,top
X1,Q13FC1350000400,FC-135R_L3.2-W1.5,31.5,-43.0,-90.0,top
X2,X201632MMB4SI,X201632MMB4SI,31.0,-34.5,180.0,top
